ID,Group,Month,L1_Req,L1_Calque,Latency,Fluency,N400_Amp
24,CG,1,16,10,5.3,2.8,-5.8
24,CG,3,14,9,4.9,3.1,-5.5
24,CG,6,13,8,4.7,3.4,-5.2
25,CG,1,14,8,4.8,3.0,-5.4
25,CG,3,12,7,4.5,3.3,-5.1
25,CG,6,11,6,4.3,3.6,-4.8
26,CG,1,13,7,4.6,3.3,-5.1
26,CG,3,12,6,4.3,3.6,-4.9
26,CG,6,11,5,4.1,3.9,-4.6
27,CG,1,15,9,5.0,2.9,-5.6
27,CG,3,13,8,4.7,3.2,-5.3
27,CG,6,12,7,4.5,3.5,-5.0
28,CG,1,12,7,4.4,3.4,-4.9
28,CG,3,11,6,4.2,3.7,-4.7
28,CG,6,10,6,4.1,4.0,-4.5
29,CG,1,16,10,5.4,2.8,-5.8
29,CG,3,15,9,5.0,3.1,-5.6
29,CG,6,14,8,4.8,3.3,-5.3
30,CG,1,14,8,4.9,3.0,-5.5
30,CG,3,12,7,4.6,3.3,-5.1
30,CG,6,11,6,4.3,3.6,-4.8
31,CG,1,13,7,4.5,3.3,-5.1
31,CG,3,12,6,4.3,3.6,-4.9
31,CG,6,11,5,4.1,3.9,-4.6
32,CG,1,15,9,5.0,2.9,-5.6
32,CG,3,13,8,4.7,3.2,-5.3
32,CG,6,12,7,4.5,3.5,-5.0
33,CG,1,12,7,4.4,3.4,-4.9
33,CG,3,11,6,4.2,3.7,-4.7
33,CG,6,10,6,4.1,4.0,-4.5
34,CG,1,16,10,5.4,2.8,-5.8
34,CG,3,15,9,5.0,3.1,-5.6
34,CG,6,14,8,4.8,3.3,-5.3
35,CG,1,14,8,4.9,3.0,-5.5
35,CG,3,12,7,4.6,3.3,-4.8
35,CG,6,11,6,4.3,3.6,-4.6
36,CG,1,13,7,4.5,3.3,-5.1
36,CG,3,12,6,4.3,3.6,-4.9
36,CG,6,11,5,4.1,3.9,-4.6
37,CG,1,15,9,5.0,2.9,-5.6
37,CG,3,13,8,4.7,3.2,-5.3
37,CG,6,12,7,4.5,3.5,-5.0
38,CG,1,12,7,4.4,3.4,-4.9
38,CG,3,11,6,4.2,3.7,-4.7
38,CG,6,10,6,4.1,4.0,-4.5
39,CG,1,16,10,5.4,2.8,-5.8
39,CG,3,15,9,5.0,3.1,-5.6
39,CG,6,14,8,4.8,3.3,-5.3
40,CG,1,14,8,4.9,3.0,-5.5
40,CG,3,12,7,4.6,3.3,-4.8
40,CG,6,11,6,4.3,3.6,-4.6
